,name,pos,salary,prediction
260,Daniel Bellinger,TE,2500,1.27
261,KhaDarel Hodge,WR,3000,1.52
262,Zach Pascal,WR,3000,1.37
263,Brock Wright,TE,2500,1.15
264,Tank Bigsby,RB,4200,2.24
265,Marquise Goodwin,WR,3000,1.15
266,Foster Moreau,TE,2700,1.22
267,Jalen Guyton,WR,3000,1.24
268,Tyquan Thornton,WR,3000,1.07
269,David Bell,WR,3000,1.1
270,Byron Pringle,WR,3000,1.16
271,Darrynton Evans,RB,4000,1.54
272,Rakim Jarrett,WR,3000,1.16
273,Tre Tucker,WR,3000,1.24
274,Tucker Kraft,TE,2500,1.0
275,Pharaoh Brown,TE,2500,1.08
276,Tim Jones,WR,3000,1.13
277,Eric Gray,RB,4000,1.67
278,Kene Nwangwu,RB,4000,1.0
279,Scotty Miller,WR,3000,0.86
280,Van Jefferson,WR,3500,1.14
281,Jordan Mason,RB,5300,1.74
282,Reggie Gilliam,RB,4000,1.13
283,Montrell Washington,WR,3000,0.8
284,Ty Montgomery,WR,3000,0.9
285,Jimmy Graham,TE,2500,0.67
286,Keaton Mitchell,RB,4000,1.31
287,Emanuel Wilson,RB,4000,1.18
288,Cedric Tillman,WR,3000,0.93
289,Devine Ozigbo,RB,4400,1.27
290,Elijah Dotson,RB,4000,0.65
291,Dee Eskridge,WR,3000,0.45
292,Boston Scott,RB,4000,0.86
293,Ronnie Bell,WR,3300,0.58
294,Jack Stoll,TE,2500,0.43
295,Velus Jones,WR,3000,0.53
296,Will Mallory,TE,2500,0.5
297,Ross Dwelley,TE,2500,0.57
298,Damien Harris,RB,4000,0.7
299,Sean Tucker,RB,4300,0.74
300,Malik Heath,WR,3000,0.61
301,Chris Rodriguez,RB,4000,0.74
302,Isaiah Spiller,RB,4500,0.9
303,Chase Claypool,WR,3000,0.58
304,Malik Cunningham,QB,4800,1.05
305,Travis Homer,RB,4500,0.89
306,Ben Skowronek,WR,3000,0.48
307,D'Ernest Johnson,RB,4000,0.92
308,Robbie Chosen,WR,3000,0.52
309,Johnny Mundt,TE,2500,0.49
310,Zamir White,RB,4700,0.87
311,Payne Durham,TE,2500,0.55
312,Darnell Washington,TE,2500,0.52
313,Blake Bell,TE,2500,0.4
314,Charlie Kolar,TE,2500,0.36
315,Quintin Morris,TE,2500,0.33
316,Brycen Hopkins,TE,2500,0.34
317,Albert Okwuegbunam,TE,2500,0.19
318,Gary Brightwell,RB,4000,0.56
319,Davis Allen,TE,2500,0.14
320,Rashaad Penny,RB,4000,0.31
321,Ty Chandler,RB,4000,0.52
322,Pierre Strong,RB,4200,0.54
323,Miles Boykin,WR,3000,0.39
324,N'Keal Harry,WR,3000,0.3
325,Kayshon Boutte,WR,3000,0.3
326,Brandon Bolden,RB,4000,0.23
327,Antoine Green,WR,3000,0.32
328,Ko Kieft,TE,2500,0.34
329,Greg Dortch,WR,3000,0.31
330,Demarcus Robinson,WR,3000,0.17
331,Gunner Olszewski,WR,3000,0.37
332,Tre' McKitty,TE,2500,0.26
333,Tyrion Davis-Price,RB,4000,0.22
334,Tyler Kroft,TE,2500,0.26
335,Trent Taylor,WR,3000,0.26
336,Danny Gray,WR,3000,0.0
337,Clayton Tune,QB,4400,0.0
338,Stetson Bennett,QB,4000,0.0
339,Sean Clifford,QB,4100,0.0
340,Erik Ezukanma,WR,3000,0.0
341,Brayden Willis,TE,2500,0.0
342,Skylar Thompson,QB,4000,0.0
343,Brady Russell,TE,2500,0.0
344,Aidan O'Connell,QB,4700,0.0
345,Mitchell Tinsley,WR,3000,0.0
346,Dorian Thompson-Robinson,QB,4700,0.0
347,Kenny McIntosh,RB,4000,0.0
348,Cameron Latu,TE,2500,0.0
349,Parker Washington,WR,3000,0.0
350,Josh Ali,WR,3000,0.0
351,Bryce Ford-Wheaton,WR,3000,0.0
352,Nate Adkins,TE,2500,0.0
353,Kyren Williams,RB,7100,0.0
354,Rodney Williams,TE,2500,0.0
355,Greg Dulcich,TE,2500,0.0
356,De'Von Achane,RB,4000,0.0
357,Jalen Virgil,WR,3000,0.0
358,Anthony Richardson,QB,4000,0.0
359,Chris Brooks,RB,4000,0.0
360,Nathan Rourke,QB,4000,0.0
361,Evan Hull,RB,4000,0.0
362,Dareke Young,WR,3000,0.0
363,Elijah Cooks,WR,3000,0.0
364,Alfonzo Graham,RB,4000,0.0
