Player,Team,Pos,Injury,Status,Est. Return
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Fletcher Cox,PHI,DT,Knee,Questionable,Subscribers Only
River Cracraft,MIA,WR,Shoulder,Doubtful,Subscribers Only
Kekoa Crawford,FA,WR,Undisclosed,Questionable,Subscribers Only
Maxx Crosby,LV,DE,Knee,Questionable,Subscribers Only
Tyrell Crosby,FA,OT,Back,Questionable,Subscribers Only
Charles Cross,SEA,OT,Toe,Questionable,Subscribers Only
Keion Crossen,MIA,CB,Undisclosed,IR,Subscribers Only
Isaiah Crowell,FA,RB,Achilles,Questionable,Subscribers Only
Dominique Dafney,FA,TE,Undisclosed,Questionable,Subscribers Only
Dennis Daley,ARI,OT,Ankle,IR,Subscribers Only
Tae Daley,FA,S,Undisclosed,Questionable,Subscribers Only
Jalen Dalton,FA,DT,Undisclosed,Questionable,Subscribers Only
Braeden Daniels,WAS,OT,Shoulder,IR,Subscribers Only
James Daniels,PIT,OG,Groin,Questionable,Subscribers Only
Frank Darby,FA,WR,Undisclosed,Questionable,Subscribers Only
Marcus Davenport,MIN,LB,Ankle,Questionable,Subscribers Only
D.J. Davidson,NYG,DT,Elbow,Questionable,Subscribers Only
Zach Davidson,BUF,TE,Undisclosed,IR,Subscribers Only
Cody Davis,NE,S,Knee,PUP-R,Subscribers Only
Corey Davis,FA,WR,Personal,Reserve-Ret,Subscribers Only
Daewood Davis,FA,WR,Concussion,Questionable,Subscribers Only
Jarrad Davis,NYG,LB,Knee,IR,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Tyler Davis,GB,TE,Knee,IR,Subscribers Only
Wyatt Davis,NYG,OG,Ankle,IR,Subscribers Only
Akeem Davis-Gaither,CIN,LB,Knee,Questionable,Subscribers Only
Duke Dawson,FA,CB,Undisclosed,Questionable,Subscribers Only
Jamel Dean,TB,CB,Neck,Questionable,Subscribers Only
Nakobe Dean,PHI,LB,Foot,IR,Subscribers Only
Dylan Deatherage,FA,OT,Undisclosed,Questionable,Subscribers Only
Dawson Deaton,CLE,OG,Knee - ACL,IR,Subscribers Only
Taylor Decker,DET,OT,Ankle,Questionable,Subscribers Only
Michael Deiter,HOU,C,Chest,Questionable,Subscribers Only
SirVocea Dennis,TB,LB,Hamstring,Questionable,Subscribers Only
Trevon Diggs,DAL,CB,Knee - ACL,IR,Subscribers Only
Brandon Dillon,WAS,TE,Undisclosed,IR,Subscribers Only
Will Dissly,SEA,TE,Shoulder,Questionable,Subscribers Only
J.K. Dobbins,BAL,RB,Achilles,IR,Subscribers Only
JoJo Domann,FA,LB,Concussion,Questionable,Subscribers Only
Myles Dorn,FA,S,Undisclosed,Questionable,Subscribers Only
Khalil Dorsey,DET,CB,Illness,IR,Subscribers Only
Andrew Dowell,NO,LB,Knee - ACL,IR,Subscribers Only
Tommy Doyle,BUF,OT,Knee,IR,Subscribers Only
Dakota Dozier,FA,OG,Knee - ACL,Questionable,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Greg Dulcich,DEN,TE,Hamstring,IR,Subscribers Only
Ashton Dulin,IND,WR,Knee - ACL,IR,Subscribers Only
Yasir Durant,FA,OG,Undisclosed,Questionable,Subscribers Only
David Durden,DAL,WR,Knee - ACL,IR,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Trestan Ebner,FA,RB,Concussion,Questionable,Subscribers Only
Chase Edmonds,TB,RB,Knee - MCL,IR,Subscribers Only
Chuma Edoga,DAL,OT,Elbow,Questionable,Subscribers Only
Sam Ehlinger,IND,QB,Shoulder,Questionable,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Austin Ekeler,LAC,RB,Ankle,Questionable,Subscribers Only
Daniel Ekuale,NE,DT,Biceps,IR,Subscribers Only
Pat Elflein,ARI,C,Undisclosed,IR,Subscribers Only
DeShon Elliott,MIA,S,Ankle,Questionable,Subscribers Only
Tino Ellis,FA,CB,Undisclosed,Questionable,Subscribers Only
Noah Elliss,FA,DT,Undisclosed,Questionable,Subscribers Only
Ikenna Enechukwu,ATL,LB,Undisclosed,IR,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Dee Eskridge,SEA,WR,Suspension,Reserve-Sus,Subscribers Only
Drew Estrada,FA,WR,Achilles,Questionable,Subscribers Only
Justin Evans,PHI,S,Neck,Questionable,Subscribers Only
Gerald Everett,LAC,TE,Illness,Questionable,Subscribers Only
Erik Ezukanma,MIA,WR,Neck,Questionable,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
Brandon Facyson,LV,CB,Shin,IR,Subscribers Only
Diego Fagot,FA,LB,Undisclosed,Questionable,Subscribers Only
Austin Faoliu,SEA,DT,Knee,PUP-R,Subscribers Only
Caleb Farley,TEN,CB,Back,PUP-R,Subscribers Only
Folorunso Fatukasi,JAX,DT,Shoulder,Questionable,Subscribers Only
Olakunle Fatukasi,FA,LB,Concussion,Questionable,Subscribers Only
Rashad Fenton,ARI,CB,Undisclosed,IR,Subscribers Only
Reid Ferguson,BUF,C,Wrist,Questionable,Subscribers Only
Ethan Fernea,FA,WR,Undisclosed,Questionable,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
Eric Fisher,FA,OT,Calf,Questionable,Subscribers Only
Trey Flowers,NE,LB,Undisclosed,PUP-R,Subscribers Only
Drew Forbes,CLE,OG,Back,NFI-R,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Isaiah Ford,FA,WR,Undisclosed,Questionable,Subscribers Only
Bryce Ford-Wheaton,NYG,WR,Knee,IR,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Jody Fortson,KC,TE,Shoulder,IR,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Feleipe Franks,ATL,TE,Undisclosed,IR,Subscribers Only
Kyle Fuller,FA,CB,Knee - ACL,Questionable,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Russell Gage,TB,WR,Knee,IR,Subscribers Only
Jon Gaines,ARI,C,Knee,IR,Subscribers Only
Tipa Galeai,FA,LB,Hamstring,Questionable,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
Don Gardner,FA,CB,Hamstring,Questionable,Subscribers Only
C.J. Gardner-Johnson,DET,S,Pectoral,IR,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Jimmy Garoppolo,LV,QB,Concussion,Questionable,Subscribers Only
Luke Gifford,TEN,LB,Hamstring,Questionable,Subscribers Only
Mark Gilbert,FA,CB,Undisclosed,Questionable,Subscribers Only
Zyon Gilbert,FA,CB,Hamstring,Questionable,Subscribers Only
Cullen Gillaspia,FA,LB,Knee,Questionable,Subscribers Only
Tyree Gillespie,FA,S,Knee,Questionable,Subscribers Only
Alohi Gilman,LAC,S,Heel,Questionable,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Davon Godchaux,NE,DT,Ankle,Questionable,Subscribers Only
Eddie Goldman,ATL,DT,Undisclosed,Reserve-Ex,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,FA,K,Calf,Questionable,Subscribers Only
Kyler Gordon,CHI,CB,Hand,IR,Subscribers Only
Tay Gowan,FA,CB,Undisclosed,Questionable,Subscribers Only
Alfonzo Graham,PIT,RB,Undisclosed,IR,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Thomas Graham,CLE,CB,Ankle,IR,Subscribers Only
Jakeem Grant,CLE,WR,Kneecap,IR,Subscribers Only
Danny Gray,SF,WR,Shoulder - AC Joint,IR,Subscribers Only
Noah Gray,KC,TE,Illness,Questionable,Subscribers Only
Kenyon Green,HOU,OG,Shoulder - Labrum,IR,Subscribers Only
