Player,Team,Pos,Injury,Status
Quartney Davis,IND,WR,Shoulder,IR
Connor Davis,FA,TE,Shoulder,Questionable
Jarrad Davis,NYJ,LB,Illness,Reserve-Covid-19
Corey Davis,NYJ,WR,Groin,IR
Tae Davis,HOU,LB,Undisclosed,IR
Jalen Davis,CIN,CB,Ankle,Out
Akeem Davis-Gaither,CIN,LB,Foot,IR
Duke Dawson,FA,CB,Undisclosed,Out
Jamil Demby,LAR,OG,Undisclosed,IR
Derrick Dillon,FA,WR,Undisclosed,Questionable
J.K. Dobbins,BAL,RB,Knee - ACL,IR
Joshua Dobbs,PIT,QB,Toe,IR
Phillip Dorsett,HOU,WR,Ankle,IR
Khalil Dorsey,BAL,CB,Undisclosed,IR
Kevin Dotson,PIT,OG,Ankle,IR-R
Rico Dowdle,DAL,RB,Hip,IR
Jack Doyle,IND,TE,Ankle,Questionable
Kenyan Drake,LV,RB,Ankle,IR
Jack Driscoll,PHI,OG,Ankle,IR
Jeff Driskel,HOU,TE,Collarbone,IR
Kyle Dugger,NE,S,Hamstring,Questionable
DeVontres Dukes,FA,WR,Undisclosed,Questionable
Devin Duvernay,BAL,WR,Ankle,Questionable
Kony Ealy,FA,DE,Suspension,Out
Dominik Eberle,FA,K,Undisclosed,Out
Nate Ebner,NYG,S,Ankle,IR
Eric Ebron,PIT,TE,Knee,IR
Gus Edwards,BAL,RB,Knee - ACL,IR
Clyde Edwards-Helaire,KC,RB,Shoulder,Out
Duke Ejiofor,FA,LB,Knee - ACL,Questionable
Ben Ellefson,MIN,TE,Knee,IR-R
Emmanuel Ellerbee,ATL,LB,Knee,IR
DeShon Elliott,BAL,S,Pectoral,IR
BJ Emmons,FA,RB,Undisclosed,Out
Quincy Enunwa,FA,WR,Neck,Questionable
Donnie Ernsberger,FA,TE,Undisclosed,Questionable
Tyler Ervin,FA,RB,Foot,Questionable
Cameron Erving,CAR,OT,Calf,Doubtful
Dorian Etheridge,FA,LB,Illness,Out
Travis Etienne,JAX,RB,Foot,IR
Darrynton Evans,TEN,RB,Knee,IR
Mike Evans,TB,WR,Hamstring,Questionable
Justin Evans,FA,S,Foot,Questionable
Jordan Evans,CIN,LB,Knee,IR
Deshazor Everett,WAS,S,Personal,NFI-R
Kyler Fackrell,LAC,LB,Knee,IR-R
Caleb Farley,TEN,CB,Knee,IR
Parker Ferguson,NYJ,OT,Undisclosed,IR
Sam Ficken,TEN,K,Groin,IR
Justin Fields,CHI,QB,Ankle,Questionable
Tony Fields,CLE,LB,Illness,Reserve-Covid-19
Chris Finke,FA,WR,Undisclosed,Questionable
B.J. Finney,PIT,OG,Back,IR
Eric Fisher,IND,OT,Knee,Questionable
Kylie Fitts,ARI,LB,Concussion,IR
Ryan Fitzpatrick,WAS,QB,Hip,IR
Thomas Fletcher,CAR,C,Hip,IR
Ereck Flowers,WAS,OG,Illness,Reserve-Covid-19
Trey Flowers,DET,LB,Knee,IR
Leonard Floyd,LAR,LB,Ankle,Questionable
Nick Folk,NE,K,Knee,Questionable
Drew Forbes,CLE,OG,Knee,IR
Rudy Ford,JAX,CB,Undisclosed,Reserve-Covid-19
Dee Ford,SF,DE,Back,IR
Mike Ford,DEN,CB,Illness,Reserve-Covid-19
L.J. Fort,BAL,LB,Knee - ACL,IR
Jody Fortson,KC,TE,Achilles,IR
Leonard Fournette,TB,RB,Hamstring,IR
John Franklin,FA,WR,Knee - ACL,Out
Will Fuller,MIA,WR,Finger,IR
Troy Fumagalli,NE,TE,Undisclosed,IR
Devin Funchess,FA,WR,Undisclosed,Questionable
Greg Gaines,LAR,DT,Hand,Questionable
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable
Ben Garland,FA,C,Calf,Questionable
Jimmy Garoppolo,SF,QB,Thumb,Doubtful
Nick Gates,NYG,C,Lower Leg,IR
Antonio Gibson,WAS,RB,Undisclosed,Reserve-Covid-19
Stephon Gilmore,CAR,CB,Groin,Out
Graham Glasgow,DEN,OG,Ankle,IR
Mark Glowinski,IND,OG,Illness,Questionable
Dan Godsil,CIN,C,Undisclosed,Reserve-Ret
Chris Godwin,TB,WR,Knee - ACL + MCL,IR
Terry Godwin,JAX,WR,Undisclosed,IR
Jared Goff,DET,QB,Knee,Doubtful
Markus Golden,ARI,LB,Illness,Reserve-Covid-19
Eddie Goldman,CHI,DT,Finger,Questionable
Matt Gono,ATL,OG,Undisclosed,PUP-R
Zane Gonzalez,CAR,K,Quadriceps,IR
Denzelle Good,LV,OG,Knee - ACL,IR
Melvin Gordon,DEN,RB,Thumb,Questionable
Brandon Graham,PHI,DE,Achilles,IR
Jaeden Graham,ATL,TE,Knee,IR
Carl Granderson,NO,DE,Illness,Questionable
Virgil Green,FA,TE,Ankle,Questionable
Kendrick Green,PIT,C,Calf,Questionable
Raven Greene,FA,S,Undisclosed,Questionable
Ethan Greenidge,NO,OT,Arm,IR
Dre Greenlaw,SF,LB,Groin,Out
Everson Griffen,MIN,DE,Personal,NFI-R
Ryan Griffin,NYJ,TE,Knee,Reserve-Covid-19
Garrett Griffin,NO,TE,Hamstring,IR
Shaquill Griffin,JAX,CB,Illness,Reserve-Covid-19
Trevon Grimes,FA,WR,Undisclosed,Questionable
Ryan Groy,FA,OG,Triceps,Questionable
Javon Hagan,FA,S,Illness,Out
Daeshon Hall,FA,DE,Undisclosed,Questionable
Terez Hall,NE,LB,Undisclosed,PUP-R
Emanuel Hall,FA,WR,Achilles,Questionable
DaeSean Hamilton,DEN,WR,Knee - ACL,NFI-R
Shaun Dion Hamilton,DET,LB,Undisclosed,IR
KJ Hamler,DEN,WR,Knee - ACL,IR
Josh Hammond,FA,WR,Undisclosed,Out
Saquan Hampton,FA,S,Achilles,Questionable
Johnathan Hankins,LV,DT,Back,Questionable
Chase Hansen,FA,LB,Undisclosed,Out
Tre Harbison,CLE,RB,Concussion,IR
Sean Harlow,ARI,OG,Illness,Questionable
Chase Harrell,FA,TE,Suspension,Reserve-Sus
Damien Harris,NE,RB,Hamstring,Questionable
Erik Harris,ATL,S,Chest,IR
Trent Harris,FA,LB,Ankle,Questionable
Demetrius Harris,ARI,TE,Shoulder,Questionable
Shelby Harris,DEN,DE,Ankle,Questionable
Dwayne Harris,FA,WR,Triceps,Questionable
Jacob Harris,LAR,TE,Knee - ACL + MCL,IR
Jonotthan Harrison,FA,C,Achilles,Out
Ronnie Harrison,CLE,S,Ankle,Out
Montre Hartage,FA,S,Undisclosed,Questionable
Pressley Harvin,PIT,P,Personal,Questionable
Jaylinn Hawkins,ATL,S,Illness,Reserve-Covid-19
Daelin Hayes,BAL,LB,Knee,IR
Joel Heath,DET,DE,Knee - ACL,IR
Darrell Henderson,LAR,RB,Knee - MCL,IR
CJ Henderson,CAR,CB,Shoulder,Questionable
Derrick Henry,TEN,RB,Foot,IR
Chandon Herring,FA,OG,Undisclosed,Questionable
Malik Herring,KC,DE,Knee - ACL,NFI-R
Frank Herron,FA,DE,Undisclosed,Out
Gavin Heslop,SEA,S,Lower Leg,IR
Akiem Hicks,CHI,DT,Undisclosed,Questionable
Dont'a Hightower,NE,LB,Knee,Questionable
John Hightower,FA,WR,Illness,Out
Kylin Hill,GB,RB,Knee - ACL,IR
