PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Emari Demercado,RB,ARI,MIA,139,46.5,3,21.75,4500,2.81,0.6,0,2.4,0.9,3.3,0.7
Luke Farrell,TE,JAX,GB,179,49,4.5,22.25,2500,1.45,0.6,0,0,0.8,0.8,0.3
Jamaal Williams,RB,NO,LAC,277,40,7.5,16.25,4200,2.34,0.6,0,3,0.7,3.7,0.9
Trent Sherfield,WR,MIN,LAR,-153,48,-3,25.5,3000,1.75,0.6,0,0,1,1,0.3
Miles Sanders,RB,CAR,DEN,348,43.5,9,17.25,4400,2.46,0.6,0,3.5,0.7,4.2,1
Nelson Agholor,WR,BAL,CLE,-441,44.5,-9,26.75,3900,2.38,0.6,0,0.1,1.2,1.3,0.3
Blake Corum,RB,LAR,MIN,128,48,3,22.5,4300,2.8,0.6,0,3.1,0.5,3.6,0.8
Tanner Hudson,TE,CIN,PHI,-132,48,-2,25,2500,1.51,0.6,0,0,0.8,0.8,0.3
Jaylen Wright,RB,MIA,ARI,-168,46.5,-3,24.75,4900,2.47,0.5,0,2.2,0.6,2.8,0.6
Jordan Akins,TE,CLE,BAL,342,44.5,9,17.75,2800,1.48,0.5,0,0,1,1,0.4
Audric Estime,RB,DEN,CAR,-460,43.5,-9,26.25,4300,2.32,0.5,0,2.4,0.5,2.9,0.7
Skyy Moore,WR,KC,LV,-523,41.5,-10,25.75,3100,1.67,0.5,0,0.1,0.9,1,0.3
Gerald Everett,TE,CHI,WAS,-135,43.5,-2.5,23,2600,1.21,0.5,0,0,0.7,0.7,0.3
Kyle Juszczyk,RB,SF,DAL,-216,46,-4.5,25.25,4000,2.09,0.5,0,0.3,1.1,1.4,0.4
Zach Pascal,WR,ARI,MIA,139,46.5,3,21.75,3000,1.61,0.5,0,0.1,0.9,1,0.3
Charlie Kolar,TE,BAL,CLE,-441,44.5,-9,26.75,2500,1.22,0.5,0,0,0.8,0.8,0.3
Deuce Vaughn,RB,DAL,SF,176,46,4.5,20.75,4000,1.86,0.5,0,1.8,0.6,2.4,0.6
MyCole Pruitt,TE,PIT,NYG,-292,36.5,-6.5,21.5,2500,1.28,0.5,0,0,0.8,0.8,0.3
Xavier Gipson,WR,NYJ,NE,-352,41.5,-7.5,24.5,3000,1.45,0.5,0,0.1,0.6,0.7,0.2
Durham Smythe,TE,MIA,ARI,-168,46.5,-3,24.75,2600,1.4,0.5,0,0,0.7,0.7,0.3
Pharaoh Brown,TE,SEA,BUF,142,47,3,22,2600,1.2,0.5,0,0,0.6,0.6,0.2
Charlie Jones,WR,CIN,PHI,-132,48,-2,25,3000,1.44,0.5,0,0,0.8,0.8,0.3
Luke Schoonmaker,TE,DAL,SF,176,46,4.5,20.75,2700,1.28,0.5,0,0,0.7,0.7,0.3
Malik Heath,WR,GB,JAX,-220,49,-4.5,26.75,3000,1.6,0.5,0,0.1,0.8,0.9,0.3
Laviska Shenault,WR,SEA,BUF,142,47,3,22,3000,1.07,0.4,0,0.7,0.6,1.3,0.4
Mike Williams,WR,NYJ,NE,-352,41.5,-7.5,24.5,4200,1.59,0.4,0,0,0.8,0.8,0.2
Trey Sermon,RB,IND,HOU,198,46,5.5,20.25,5300,2.05,0.4,0,2.6,0.5,3.1,0.6
Drew Sample,TE,CIN,PHI,-132,48,-2,25,2500,0.89,0.4,0,0,0.5,0.5,0.2
Simi Fehoko,WR,LAC,NO,-351,40,-7.5,23.75,3500,1.33,0.4,0,0,0.8,0.8,0.2
Clyde Edwards-Helaire,RB,KC,LV,-523,41.5,-10,25.75,5000,2.26,0.4,0,1.2,0.9,2.1,0.4
Payne Durham,TE,TB,ATL,119,46,2.5,21.75,2500,1.06,0.4,0,0,0.6,0.6,0.2
Will Mallory,TE,IND,HOU,198,46,5.5,20.25,2500,1.03,0.4,0,0,0.6,0.6,0.2
Jody Fortson,TE,KC,LV,-523,41.5,-10,25.75,2500,0.99,0.4,0,0,0.5,0.5,0.2
Ben Sinnott,TE,WAS,CHI,113,43.5,2.5,20.5,2500,1.06,0.4,0,0,0.6,0.6,0.2
Jonathan Mingo,WR,CAR,DEN,348,43.5,9,17.25,3400,1.51,0.4,0,0,1.1,1.1,0.3
Daniel Bellinger,TE,NYG,PIT,233,36.5,6.5,15,2500,0.98,0.4,0,0,0.7,0.7,0.3
DeAndre Carter,WR,CHI,WAS,-135,43.5,-2.5,23,3000,1.29,0.4,0,0.3,0.8,1.1,0.4
Derius Davis,WR,LAC,NO,-351,40,-7.5,23.75,3400,1.35,0.4,0,0.1,0.5,0.6,0.2
Pierre Strong,RB,CLE,BAL,342,44.5,9,17.75,4500,1.64,0.4,0,0.8,1,1.8,0.4
Nick Westbrook-Ikhine,WR,TEN,DET,447,45.5,11,17.25,3000,1.23,0.4,0,0,0.8,0.8,0.3
Jalin Hyatt,WR,NYG,PIT,233,36.5,6.5,15,3000,1.26,0.4,0,0,0.9,0.9,0.3
AJ Barner,TE,SEA,BUF,142,47,3,22,2500,0.82,0.3,0,0,0.5,0.5,0.2
Eric Gray,RB,NYG,PIT,233,36.5,6.5,15,4000,1.4,0.3,0,1.5,0.4,1.9,0.5
Hunter Luepke,RB,DAL,SF,176,46,4.5,20.75,4000,1.19,0.3,0,0,1.1,1.1,0.3
Connor Heyward,TE,PIT,NYG,-292,36.5,-6.5,21.5,2500,0.68,0.3,0,0,0.5,0.5,0.2
Jared Wiley,TE,KC,LV,-523,41.5,-10,25.75,2500,0.72,0.3,0,0,0.4,0.4,0.2
Drew Ogletree,TE,IND,HOU,198,46,5.5,20.25,2500,0.86,0.3,0,0,0.5,0.5,0.2
Javon Baker,WR,NE,NYJ,275,41.5,7.5,17,3000,0.74,0.3,0,0,0.5,0.5,0.2
Ronnie Rivers,RB,LAR,MIN,128,48,3,22.5,4000,1.07,0.3,0,1,0.3,1.3,0.3
Sione Vaki,RB,DET,TEN,-622,45.5,-11,28.25,4000,1.09,0.3,0,0.8,0.5,1.3,0.3
Stone Smartt,TE,LAC,NO,-351,40,-7.5,23.75,2500,0.77,0.3,0,0,0.4,0.4,0.2
Tyquan Thornton,WR,NE,NYJ,275,41.5,7.5,17,3000,1.02,0.3,0,0.1,0.7,0.8,0.3
Trenton Irwin,WR,CIN,PHI,-132,48,-2,25,3000,0.76,0.3,0,0,0.4,0.4,0.1
Ameer Abdullah,RB,LV,KC,387,41.5,10,15.75,4400,1.52,0.3,0,1,1,2,0.5
Quintin Morris,TE,BUF,SEA,-173,47,-3,25,2500,0.74,0.3,0,0,0.4,0.4,0.2
D'Onta Foreman,RB,CLE,BAL,342,44.5,9,17.75,4800,1.3,0.3,0,1.8,0.3,2.1,0.4
Charlie Woerner,TE,ATL,TB,-142,46,-2.5,24.25,2500,0.88,0.3,0,0,0.5,0.5,0.2
DeeJay Dallas,RB,ARI,MIA,139,46.5,3,21.75,4000,0.73,0.2,0,0.6,0.4,1,0.3
Scotty Miller,WR,PIT,NYG,-292,36.5,-6.5,21.5,3000,0.72,0.2,0,0.1,0.5,0.6,0.2
Tyler Scott,WR,CHI,WAS,-135,43.5,-2.5,23,3000,0.54,0.2,0,0.1,0.3,0.4,0.1
Jamari Thrash,WR,CLE,BAL,342,44.5,9,17.75,3000,0.46,0.2,0,0,0.3,0.3,0.1
Tylan Wallace,WR,BAL,CLE,-441,44.5,-9,26.75,3000,0.47,0.2,0,0,0.3,0.3,0.1
Jeff Wilson,RB,MIA,ARI,-168,46.5,-3,24.75,4400,0.84,0.2,0,0.6,0.3,0.9,0.2
Cedrick Wilson,WR,NO,LAC,277,40,7.5,16.25,4600,1.07,0.2,0,0,0.7,0.7,0.2
David Moore,WR,CAR,DEN,348,43.5,9,17.25,3000,0.49,0.2,0,0,0.3,0.3,0.1
John Bates,TE,WAS,CHI,113,43.5,2.5,20.5,2500,0.56,0.2,0,0,0.4,0.4,0.2
Jase McClellan,RB,ATL,TB,-142,46,-2.5,24.25,4000,0.8,0.2,0,0.4,0.3,0.7,0.2
K.J. Osborn,WR,NE,NYJ,275,41.5,7.5,17,3300,0.63,0.2,0,0,0.4,0.4,0.1
Jeremy McNichols,RB,WAS,CHI,113,43.5,2.5,20.5,4200,0.77,0.2,0,1.3,0.2,1.5,0.4
Craig Reynolds,RB,DET,TEN,-622,45.5,-11,28.25,4000,0.92,0.2,0,0.3,0.5,0.8,0.2
Jordan Mims,RB,NO,LAC,277,40,7.5,16.25,4000,0.96,0.2,0,1.1,0.3,1.4,0.4
Samaje Perine,RB,KC,LV,-523,41.5,-10,25.75,4800,1.04,0.2,0,2.4,2.1,4.5,0.9
Greg Dulcich,TE,DEN,CAR,-460,43.5,-9,26.25,2500,0.55,0.2,0,0,0.3,0.3,0.1
Cam Akers,RB,MIN,LAR,-153,48,-3,25.5,5000,0.82,0.2,0,0.9,0.2,1.1,0.2
Tyler Goodson,RB,IND,HOU,198,46,5.5,20.25,5500,0.85,0.2,0,0.7,0.3,1,0.2
Anthony Gould,WR,IND,HOU,198,46,5.5,20.25,3000,0.46,0.2,0,0,0.3,0.3,0.1
Jack Stoll,TE,PHI,CIN,111,48,2,23,2700,0.57,0.2,0,0,0.3,0.3,0.1
Khalil Herbert,RB,CHI,WAS,-135,43.5,-2.5,23,4300,0.99,0.2,0,0.6,0.3,0.9,0.2
Aaron Shampklin,RB,PIT,NYG,-292,36.5,-6.5,21.5,4000,0.62,0.2,0,0.6,0.2,0.8,0.2
Jha'Quan Jackson,WR,TEN,DET,447,45.5,11,17.25,3000,0.49,0.2,0,0,0.4,0.4,0.1
Isaac Guerendo,RB,SF,DAL,-216,46,-4.5,25.25,6100,1.17,0.2,0,1.1,0.3,1.4,0.2
Jaheim Bell,TE,NE,NYJ,275,41.5,7.5,17,2500,0.6,0.2,0,0,0.4,0.4,0.2
Tyreik McAllister,WR,LV,KC,387,41.5,10,15.75,3000,0.55,0.2,0,0.2,0.4,0.6,0.2
Ryan Flournoy,WR,DAL,SF,176,46,4.5,20.75,3000,0.32,0.1,0,0,0.2,0.2,0.1
Allen Robinson,WR,DET,TEN,-622,45.5,-11,28.25,3000,0.34,0.1,0,0,0.2,0.2,0.1
Dylan Laube,RB,LV,KC,387,41.5,10,15.75,4000,0.52,0.1,0,0.3,0.3,0.6,0.2
Patrick Taylor,RB,SF,DAL,-216,46,-4.5,25.25,4600,0.33,0.1,0,0.2,0.2,0.4,0.1
Ihmir Smith-Marsette,WR,NYG,PIT,233,36.5,6.5,15,3000,0.27,0.1,0,0,0.2,0.2,0.1
Dallin Holker,TE,NO,LAC,277,40,7.5,16.25,2500,0.15,0.1,0,0,0.1,0.1,0
Casey Washington,WR,ATL,TB,-142,46,-2.5,24.25,3000,0.34,0.1,0,0,0.2,0.2,0.1
Hassan Haskins,RB,LAC,NO,-351,40,-7.5,23.75,4500,0.47,0.1,0,0.6,0.2,0.8,0.2
Hunter Long,TE,LAR,MIN,128,48,3,22.5,2500,0.36,0.1,0,0,0.3,0.3,0.1
Malik Washington,WR,MIA,ARI,-168,46.5,-3,24.75,3000,0.33,0.1,0,0,0.2,0.2,0.1
JaMycal Hasty,RB,NE,NYJ,275,41.5,7.5,17,4500,0.46,0.1,0,0.4,0.2,0.6,0.1
Tip Reiman,TE,ARI,MIA,139,46.5,3,21.75,2500,0.33,0.1,0,0,0.2,0.2,0.1
Tim Jones,WR,JAX,GB,179,49,4.5,22.25,3000,0.4,0.1,0,0,0.2,0.2,0.1
Tanner McLachlan,TE,CIN,PHI,-132,48,-2,25,2500,0.18,0.1,0,0,0.1,0.1,0
Brenden Rice,WR,LAC,NO,-351,40,-7.5,23.75,3000,0.18,0.1,0,0,0.1,0.1,0
Jermaine Burton,WR,CIN,PHI,-132,48,-2,25,3000,0.35,0.1,0,0,0.2,0.2,0.1
Velus Jones,WR,CHI,WAS,-135,43.5,-2.5,23,3000,0.28,0.1,0,0,0.2,0.2,0.1
Devin Culp,TE,TB,ATL,119,46,2.5,21.75,2500,0.34,0.1,0,0,0.2,0.2,0.1
Devontez Walker,WR,BAL,CLE,-441,44.5,-9,26.75,3000,0.36,0.1,0,0,0.2,0.2,0.1
Raheem Blackshear,RB,CAR,DEN,348,43.5,9,17.25,4000,0.47,0.1,0,0.3,0.3,0.6,0.2
Julius Chestnut,RB,TEN,DET,447,45.5,11,17.25,4100,0.23,0.1,0,0.3,0.1,0.4,0.1
Isaiah Davis,RB,NYJ,NE,-352,41.5,-7.5,24.5,4000,0.49,0.1,0,0.3,0.2,0.5,0.1
Myles Gaskin,RB,MIN,LAR,-153,48,-3,25.5,4600,0.26,0.1,0,0.4,0.1,0.5,0.1
Eric Saubert,TE,SF,DAL,-216,46,-4.5,25.25,2500,0.26,0.1,0,0,0.2,0.2,0.1
Rasheen Ali,RB,BAL,CLE,-441,44.5,-9,26.75,4000,0.52,0.1,0,0.4,0.2,0.6,0.2
Kenny McIntosh,RB,SEA,BUF,142,47,3,22,4000,0.52,0.1,0,0.7,0.2,0.9,0.2
Will Shipley,RB,PHI,CIN,111,48,2,23,4000,0.54,0.1,0,0.3,0.2,0.5,0.1
Malachi Corley,WR,NYJ,NE,-352,41.5,-7.5,24.5,3000,0.19,0.1,0,0,0.1,0.1,0
Jarrett Stidham,QB,DEN,CAR,-460,43.5,-9,26.25,4500,0,0,0,0,0,0,0
Travis Homer,RB,CHI,WAS,-135,43.5,-2.5,23,4000,0,0,0,0,0,0,0
Reggie Gilliam,RB,BUF,SEA,-173,47,-3,25,4000,0,0,0,0,0,0,0
Marcedes Lewis,TE,CHI,WAS,-135,43.5,-2.5,23,2500,0,0,0,0,0,0,0
Xavier Weaver,WR,ARI,MIA,139,46.5,3,21.75,3000,0,0,0,0,0,0,0
Bryce Ford-Wheaton,WR,NYG,PIT,233,36.5,6.5,15,3000,0,0,0,0,0,0,0
Antoine Green,WR,DET,TEN,-622,45.5,-11,28.25,3000,0,0,0,0,0,0,0
Case Keenum,QB,HOU,IND,-244,46,-5.5,25.75,4000,0,0,0,0,0,0,0
David Martin-Robinson,TE,TEN,DET,447,45.5,11,17.25,2500,0,0,0,0,0,0,0
Trayveon Williams,RB,CIN,PHI,-132,48,-2,25,4000,0,0,0,0,0,0,0
Deshaun Watson,QB,CLE,BAL,342,44.5,9,17.75,4700,0,0,0,0,0,0,0
