Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
991,16418,"Land, Isaiah",IND,@NEP,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1
992,16337,"Burney, Amari",LVR,@KCC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.1
993,16173,"Gray, Eric",NYG,@DAL,RB,0.0,0.0,2.0,0.0,0.6,3.0,0.0,0.0,0.0,0.0,1.1
994,15765,"Austin, Kevin",NOS,LAR,WR,0.0,0.0,0.0,0.0,0.5,6.0,0.0,0.0,0.0,0.0,1.1
995,15726,"Rivers, Ronnie",LAR,@NOS,RB,0.0,0.0,5.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.1
996,15241,"Jones, Mac",JAC,HOU,QB,26.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
997,15165,"Jones, Benito",MIA,@GBP,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1
998,14963,"Thomas, Daniel",JAC,HOU,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1
999,14943,"Davis-Gaither, Akeem",CIN,PIT,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1
1000,14716,"Harris, Jonathan",CAR,TBB,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1
1001,14315,"Dulin, Ashton",IND,@NEP,WR,0.0,0.0,3.0,0.0,0.1,3.0,0.1,0.0,0.0,0.0,1.1
1002,13913,"Niemann, Ben",DET,CHI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.1
1003,12923,"Ham, C.J.",MIN,ARI,RB,0.0,0.0,1.0,0.0,0.6,2.0,0.0,0.0,0.0,0.0,1.1
1004,12772,"Murray, Eric",HOU,@JAC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.1
1005,12184,"Crowder, Jamison",WAS,TEN,WR,0.0,0.0,0.0,0.0,0.6,5.0,0.0,0.0,0.0,0.0,1.1
1006,16656,"Braswell, Chris",TBB,@CAR,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0
1007,16532,"Nowaske, Trevor",DET,CHI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
1008,15984,"Charles, Irvin",NYJ,SEA,WR,0.0,0.0,1.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,1.0
1009,15899,"Jackson, D'Marco",NOS,LAR,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
1010,15252,"Mills, Davis",HOU,@JAC,QB,22.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1011,13988,"Dwelley, Ross",ATL,LAC,TE,0.0,0.0,0.0,0.0,0.6,5.0,0.0,0.0,0.0,0.0,1.0
1012,13862,"Cracraft, River",MIA,@GBP,WR,0.0,0.0,0.0,0.0,0.4,5.0,0.0,0.0,0.0,0.0,1.0
1013,16923,"Tillman, Dondrea",DEN,CLE,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9
1014,16777,"Johnson, Cedric",CIN,PIT,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9
1015,16717,"Taylor-Demerson, Dadrion",ARI,@MIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9
1016,16706,"Reiman, Tip",ARI,@MIN,TE,0.0,0.0,0.0,0.0,0.6,3.0,0.0,0.0,0.0,0.0,0.9
1017,16664,"Trotter Jr., Jeremiah",PHI,@BAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9
1018,16459,"Reese, Otis",TEN,@WAS,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9
1019,15977,"Thompkins, Deven",CAR,TBB,WR,0.0,0.0,1.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.9
1020,15807,"Ojabo, David",BAL,PHI,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9
1021,15586,"Johnson, Caleb",JAC,HOU,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9
1022,15434,"Smith-Marsette, Ihmir",NYG,@DAL,WR,0.0,0.0,2.0,0.0,0.4,2.0,0.0,0.0,0.0,0.0,0.9
1023,14807,"Kelley, Joshua",TEN,@WAS,RB,0.0,0.0,6.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.9
1024,13942,"Gray, J.T.",NOS,LAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9
1025,13595,"Rudolph, Mason",TEN,@WAS,QB,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
1026,13315,"Saubert, Eric",SFO,@BUF,TE,0.0,0.0,0.0,0.0,0.4,5.0,0.0,0.0,0.0,0.0,0.9
1027,13262,"Kpassagnon, Tanoh",NOS,LAR,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9
1028,12394,"Carter, DeAndre",CHI,@DET,WR,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.9
1029,12325,"Burton, Michael",DEN,CLE,RB,0.0,0.0,1.0,0.0,0.6,3.0,0.0,0.0,0.0,0.0,0.9
1030,11970,"Pennel, Mike",KCC,LVR,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9
1031,16926,"Reid, Winston",CLE,@DEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8
1032,16828,"Njongmeta, Maema",CIN,PIT,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
1033,16800,"Harrell, Jaylen",TEN,@WAS,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8
1034,16771,"Crumedy, Jaden",CAR,TBB,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8
1035,16752,"Davis, Isaiah",NYJ,SEA,RB,0.0,0.0,4.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.8
1036,16713,"Carter, DeWayne",BUF,SFO,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8
1037,16666,"Eichenberg, Tommy",LVR,@KCC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
1038,16605,"McClellan, Jase",ATL,LAC,RB,0.0,0.0,6.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.8
1039,16304,"Ward, Jay",MIN,ARI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8
1040,16082,"Mosby, Arron",GBP,MIA,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8
1041,15905,"Quitoriano, Teagan",HOU,@JAC,TE,0.0,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.0,0.0,0.8
1042,15797,"Dulcich, Greg",NYG,@DAL,TE,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.8
1043,15289,"Toney, Kadarius",CLE,@DEN,WR,0.0,0.0,1.0,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.8
1044,14875,"Bryant, Harrison",LVR,@KCC,TE,0.0,0.0,0.0,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.8
1045,14213,"Harris, Will",NOS,LAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8
1046,13926,"Board, Chris",BAL,PHI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8
1047,13330,"Muhammad, Al-Quadin",DET,CHI,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8
1048,12791,"Lowry, Dean",PIT,@CIN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8
1049,16883,"Johnson, Kameron",TBB,@CAR,WR,0.0,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.0,0.0,0.7
1050,16778,"Flournoy, Ryan",DAL,NYG,WR,0.0,0.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,0.7
1051,16601,"Shipley, Will",PHI,@BAL,RB,0.0,0.0,6.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7
1052,16571,"McCollum, Tristin",PHI,@BAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7
1053,16484,"Denbow, Trevor",IND,@NEP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7
1054,16331,"Coburn, Keondre",TEN,@WAS,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7
1055,16290,"Horton, Dylan",HOU,@JAC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7
1056,16203,"Jones, Charlie",CIN,PIT,WR,0.0,0.0,0.1,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.7
1057,16017,"Hummel, Jake",LAR,@NOS,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7
1058,15973,"Blackshear, Raheem",CAR,TBB,RB,0.0,0.0,2.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.7
1059,15903,"Anderson, Tycen",CIN,PIT,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7
1060,15240,"Lance, Trey",DAL,NYG,QB,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
1061,14737,"Giles-Harris, Joe",NEP,IND,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7
1062,14280,"Miller, Scotty",PIT,@CIN,WR,0.0,0.0,1.0,0.0,0.3,3.0,0.0,0.0,0.0,0.0,0.7
1063,14083,"Homer, Travis",CHI,@DET,RB,0.0,0.0,5.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7
1064,14076,"Williams, Trayveon",CIN,PIT,RB,0.0,0.0,4.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.7
1065,13634,"Pettis, Dante",NOS,LAR,WR,0.0,0.0,-0.2,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.7
1066,12257,"Conley, Chris",SFO,@BUF,WR,0.0,0.0,0.0,0.0,0.3,4.0,0.0,0.0,0.0,0.0,0.7
1067,16885,"Codrington, Brandon",BUF,SFO,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6
1068,16863,"Keyton, Ramel",LVR,@KCC,WR,0.0,0.0,1.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.6
1069,16730,"Magee, Jordan",WAS,TEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6
1070,15965,"Chestnut, Julius",TEN,@WAS,RB,0.0,0.0,1.0,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.6
1071,15824,"Tindall, Channing",MIA,@GBP,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6
1072,15595,"Campbell, Elijah",MIA,@GBP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6
1073,15528,"Wilkerson, Kristian",LVR,@KCC,WR,0.0,0.0,0.0,0.0,0.1,2.0,0.1,0.0,0.0,0.0,0.6
1074,14964,"Hall, Bryce",TBB,@CAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6
1075,14057,"Lock, Drew",NYG,@DAL,QB,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
1076,16769,"McMorris, Patrick",MIA,@GBP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5
1077,16646,"Bell, Jaheim",NEP,IND,TE,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.5
1078,16629,"Wilson, Roman",PIT,@CIN,WR,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.5
